ERR10068,SystemError,Signal
ERR10069,SystemError,Assertion
ERR10070,SystemError,BacktraceBegin
ERR10071,SystemError,Backtrace
ERR10072,SystemError,BacktraceEnd
ERR10073,SystemError,Trace
ERR10074,SystemError,LogError
ERR23289,SystemError,LogUnknownEvent
SYS23041,SystemStatus,LogNearlyFull
SYS24348,SystemStatus,LogFull
ADM23247,AdminChange,addServer
ADM23224,AdminChange,renameServer
ADM23225,AdminChange,removeServer
ADM23226,AdminChange,logNew
ADM23227,AdminChange,logUpdate
ADM23534,AdminChange,ForcedOffUser
AUT23355,Authenticate,PWMGTAcctDisabled
AUT23356,Authenticate,PWMGTAcctLockedOut
AUT23357,Authenticate,PWMGTAcctExpired
AUT23358,Authenticate,FailedLoginAdminsOnly
AUT23359,AdminLogin,FailedLoginAdminRecovery
AUT23360,AdminLogin,RejectedInterface
AUT24082,AdminLogin,RejectedInterface2
AUT24083,Authenticate,RejectedInterfaceEndUser
AUT23361,Authenticate,FailedLoginAllRolesRestricted
AUT23456,Authenticate,SigninFailedInternalError
AUT23457,Authenticate,SigninRejectLog
AUT23458,AdminLogin,SigninRejectAdminLog
AUT23459,Authenticate,NoClientCA
ADM23573,AdminLogin,AdminLogoutPrevSession
AUT23574,Authenticate,LogoutPrevSession
AUT24567,Authenticate,LogoutPrevSessionForSessionLimit
AUT21097,Authenticate,RadiusHostUnreachable
PTR23328,PolicyTrace,SigninStart
PTR23329,PolicyTrace,SigninResume
PTR23330,PolicyTrace,SigninInternalError
PTR23331,PolicyTrace,SigninContextVar
PTR23332,PolicyTrace,SigninIgnorePrompt
PTR23333,PolicyTrace,SigninSetPrompt
PTR23334,PolicyTrace,SigninReject
PTR23335,PolicyTrace,SigninRestart
PTR23362,PolicyTrace,SigninSuccess
PTR23336,PolicyTrace,SigninChangePassword
PTR23337,PolicyTrace,SigninNeedPrompt
PTR23338,PolicyTrace,SigninNeedCertificate
PTR23339,PolicyTrace,SigninTokenPage
PTR23340,PolicyTrace,SigninNeedHostChecker
PTR23341,PolicyTrace,SigninNeedCacheCleaner
PTR23342,PolicyTrace,SigninSelectRole
PTR23343,PolicyTrace,SigninMultiAdmin
PTR23623,PolicyTrace,SigninMultiUser
PTR23344,PolicyTrace,SigninAuthSuccess
PTR23345,PolicyTrace,SigninDirInfo
PTR23346,PolicyTrace,SigninGenPromptFailed
PTR23347,PolicyTrace,SigninGenPrompt
PTR23348,PolicyTrace,SigninAuthFailedOK
PTR23349,PolicyTrace,SigninRolesSelected
PTR23350,PolicyTrace,SigninUserOption
PTR30470,PolicyTrace,PostAuthSignInNotifUserOption
PTR23351,PolicyTrace,SigninSendAccounting
PTR23352,PolicyTrace,SigninRoleRestrictionFailed
PTR23353,PolicyTrace,SigninRolesPassedRoleRestrictions
PTR23354,PolicyTrace,SigninFailedAllRolesRestricted
PTR23370,PolicyTrace,SigninStartingAuth
PTR23371,PolicyTrace,SigninFetchingDir
PTR23412,PolicyTrace,ClientCAMissing
PTR24568,PolicyTrace,LogoutPrevSessionForSessionLimitPolicyTrace
PTR23228,PolicyTrace,OverallBoolValue
PTR23229,PolicyTrace,OverallIntValue
PTR23230,PolicyTrace,OverallStrValue
PTR23231,PolicyTrace,OverallTableValue
PTR23232,PolicyTrace,BeginPolicyEval
PTR23233,PolicyTrace,CheckPolicy
PTR23234,PolicyTrace,PolicyApplied
PTR23235,PolicyTrace,NoPolicyApplied
PTR23236,PolicyTrace,NoPolicies
PTR23237,PolicyTrace,BeginAutoAllowEval
PTR23238,PolicyTrace,NoAutoAllowResources
PTR23239,PolicyTrace,ActionReturned
PTR23240,PolicyTrace,ResourceNoMatch
PTR23241,PolicyTrace,AutoAllowMatch
PTR23242,PolicyTrace,AutoAllowNoMatch
PTR23243,PolicyTrace,RoleNoMatch
PTR23244,PolicyTrace,CondNoMatch
PTR23245,PolicyTrace,CheckRule
PTR23246,PolicyTrace,RulesNoMatch
PTR23308,PolicyTrace,OptionOff
PTR23432,PolicyTrace,CompressionConditionCheckFalse
PTR23433,PolicyTrace,CompressionConditionCheckTrue
PTR23498,PolicyTrace,PolicyReevalStart
PTR23499,PolicyTrace,PolicyReevalInternalError
PTR23500,PolicyTrace,PolicyReevalReject
PTR23501,PolicyTrace,PolicyReevalRemoveSession
PTR23502,PolicyTrace,PolicyReevalSuccessRolesChanged
PTR23503,PolicyTrace,PolicyReevalSuccessNoRolesChanged
PTR23504,PolicyTrace,PolicyReevalHCTimeout
PTR23505,PolicyTrace,PolicyReevalCCTimeout
PTR23507,PolicyTrace,userRolesChanged
